theta_deg,rcs_db
4.0,9.902680687415703
4.5,9.876883405951379
5.0,9.848077530122083
5.5,9.816271834476641
6.0,9.781476007338053
6.5,9.74370064785235
7.0,9.702957262759963
7.5,9.659258262890681
8.0,9.612616959383192
8.5,9.563047559630355
9.0,9.510565162951536
9.5,9.45518575599317
10.0,9.396926207859082
10.5,9.335804264972019
11.0,9.271838545667876
11.5,9.205048534524401
12.0,9.135454576426014
12.5,9.063077870366499
13.0,8.98794046299167
13.5,8.910065241883679
14.0,8.829475928589268
14.5,8.746197071393958
15.0,8.660254037844389
15.5,8.571673007021122
16.0,8.480480961564261
16.5,8.386705679454241
17.0,8.290375725550415
17.5,8.191520442889917
18.0,8.090169943749473
18.5,7.986355100472927
19.0,7.8801075360672215
19.5,7.771459614569707
20.0,7.660444431189781
20.5,7.5470958022277195
21.0,7.431448254773944
21.5,7.313537016191706
22.0,7.193398003386513
22.5,7.0710678118654755
23.0,6.946583704589976
23.5,6.819983600624987
24.0,6.691306063588581
24.5,6.560590289905072
25.0,6.427876096865393
25.5,6.293203910498374
26.0,6.156614753256584
26.5,6.018150231520487
27.0,5.877852522924734
27.5,5.7357643635104605
28.0,5.591929034707469
28.5,5.446390350150272
29.0,5.299192642332047
29.5,5.150380749100542
30.0,5.000000000000002
30.5,4.848096202463372
31.0,4.69471562785891
31.5,4.539904997395469
32.0,4.383711467890773
32.5,4.2261826174069945
33.0,4.067366430758003
33.5,3.9073112848927387
34.0,3.7460659341591214
34.5,3.583679495453005
35.0,3.420201433256686
35.5,3.2556815445715674
36.0,3.0901699437494745
36.5,2.923717047227365
37.0,2.75637355816999
37.5,2.5881904510252074
38.0,2.4192189559966764
38.5,2.2495105434386513
39.0,2.0791169081775944
39.5,1.9080899537654474
40.0,1.7364817766693026
40.5,1.56434465040231
41.0,1.3917310096006545
41.5,1.2186934340514721
42.0,1.0452846326765357
42.5,0.8715574274765832
43.0,0.697564737441251
43.5,0.5233595624294409
44.0,0.34899496702501054
44.5,0.1745240643728394
45.0,1.7763568394002505e-15
45.5,-0.17452406437283585
46.0,-0.34899496702501054
46.5,-0.5233595624294409
47.0,-0.6975647374412546
47.5,-0.8715574274765814
48.0,-1.045284632676534
48.5,-1.218693434051474
49.0,-1.3917310096006545
49.5,-1.5643446504023082
50.0,-1.7364817766693026
50.5,-1.9080899537654474
51.0,-2.0791169081775918
51.5,-2.2495105434386513
52.0,-2.4192189559966772
52.5,-2.5881904510252074
53.0,-2.75637355816999
53.5,-2.923717047227365
54.0,-3.0901699437494745
54.5,-3.2556815445715657
55.0,-3.420201433256689
55.5,-3.583679495453003
56.0,-3.7460659341591205
56.5,-3.9073112848927387
57.0,-4.0673664307580015
57.5,-4.226182617406993
58.0,-4.383711467890775
58.5,-4.5399049973954675
59.0,-4.694715627858908
59.5,-4.8480962024633705
60.0,-4.999999999999998
60.5,-5.150380749100542
61.0,-5.299192642332048
61.5,-5.446390350150271
62.0,-5.591929034707467
62.5,-5.735764363510462
63.0,-5.877852522924731
63.5,-6.018150231520485
64.0,-6.156614753256582
64.5,-6.293203910498373
65.0,-6.427876096865393
65.5,-6.560590289905071
66.0,-6.691306063588582
66.5,-6.819983600624984
67.0,-6.946583704589973
67.5,-7.071067811865474
68.0,-7.193398003386513
68.5,-7.313537016191704
69.0,-7.43144825477394
69.5,-7.54709580222772
70.0,-7.660444431189779
70.5,-7.771459614569709
71.0,-7.880107536067218
71.5,-7.986355100472929
72.0,-8.090169943749475
72.5,-8.191520442889919
73.0,-8.290375725550417
73.5,-8.386705679454238
74.0,-8.48048096156426
74.5,-8.571673007021122
75.0,-8.660254037844387
75.5,-8.746197071393958
76.0,-8.82947592858927
76.5,-8.910065241883679
77.0,-8.98794046299167
77.5,-9.063077870366499
78.0,-9.135454576426008
78.5,-9.205048534524403
79.0,-9.271838545667872
79.5,-9.335804264972017
80.0,-9.396926207859083
80.5,-9.455185755993169
81.0,-9.510565162951535
81.5,-9.563047559630355
82.0,-9.612616959383189
82.5,-9.659258262890683
83.0,-9.702957262759965
83.5,-9.743700647852352
84.0,-9.781476007338057
84.5,-9.81627183447664
85.0,-9.848077530122081
85.5,-9.876883405951377
86.0,-9.902680687415703
86.5,-9.92546151641322
87.0,-9.945218953682733
87.5,-9.961946980917455
88.0,-9.975640502598242
88.5,-9.986295347545738
89.0,-9.993908270190957
89.5,-9.998476951563912
90.0,-10.0
